Generation	Cross	Replicate	Full.Name	n	SS	SR	RR
F1	A	A	F1A	88	0	88	0
F1	B	B	F1B	87	0	87	0
F2	A	A1	F2A1	87	19	45	23
F2	A	A2	F2A2	85	25	44	16
F2	A	A3	F2A3	84	22	51	11
F2	B	B1	F2B1	87	26	48	13
F2	B	B2	F2B2	82	24	35	23
F2	B	B3	F2B3	84	25	38	21
F3	A	A1	F3A1	84	25	44	15
F3	A	A2	F3A2	85	21	49	15
F3	A	A3	F3A3	87	28	41	18
F3	B	B1	F3B1	84	36	36	12
F3	B	B2	F3B2	86	29	44	13
F3	B	B3	F3B3	85	24	47	14
F5	A	A1	F5A1	87	38	40	9
F5	A	A2	F5A2	90	31	43	16
F5	A	A3	F5A3	89	36	45	8
F5	B	B1	F5B1	88	34	41	13
F5	B	B2	F5B2	87	41	35	11
F5	B	B3	F5B3	90	36	42	12
F7	A	A1	F7A1	84	36	37	11
F7	A	A2	F7A2	81	27	43	11
F7	A	A3	F7A3	87	52	32	3
F7	B	B1	F7B1	90	35	42	13
F7	B	B2	F7B2	89	53	33	3
F7	B	B3	F7B3	86	40	39	7
