Generation	Cross	Replicate	Full.Name	Sex	n	SS	SR	RR
F1	A	A	F1A	M	44	0	44	0
F1	A	A	F1A	F	44	0	44	0
F1	B	B	F1B	M	44	0	44	0
F1	B	B	F1B	F	44	0	44	0
F2	A	A1	F2A1	M	43	8	20	15
F2	A	A1	F2A1	F	44	11	25	8
F2	A	A2	F2A2	M	42	14	17	11
F2	A	A2	F2A2	F	43	11	27	5
F2	A	A3	F2A3	M	42	12	24	6
F2	A	A3	F2A3	F	42	10	27	5
F2	B	B1	F2B1	M	45	13	25	7
F2	B	B1	F2B1	F	42	13	23	6
F2	B	B2	F2B2	M	41	13	16	12
F2	B	B2	F2B2	F	41	11	19	11
F2	B	B3	F2B3	M	44	12	18	14
F2	B	B3	F2B3	F	28	10	12	6
F3	A	A1	F3A1	M	43	15	20	8
F3	A	A1	F3A1	F	41	10	24	7
F3	A	A2	F3A2	M	42	5	30	7
F3	A	A2	F3A2	F	43	16	19	8
F3	A	A3	F3A3	M	44	15	22	7
F3	A	A3	F3A3	F	43	13	19	11
F3	B	B1	F3B1	M	42	19	17	6
F3	B	B1	F3B1	F	42	17	19	6
F3	B	B2	F3B2	M	43	17	20	7
F3	B	B2	F3B2	F	43	12	24	6
F3	B	B3	F3B3	M	41	11	22	8
F3	B	B3	F3B3	F	44	13	25	6
F5	A	A1	F5A1	M	43	22	18	3
F5	A	A1	F5A1	F	44	16	22	6
F5	A	A2	F5A2	M	45	15	21	9
F5	A	A2	F5A2	F	45	16	22	7
F5	A	A3	F5A3	M	45	22	19	4
F5	A	A3	F5A3	F	44	14	26	4
F5	B	B1	F5B1	M	43	16	20	7
F5	B	B1	F5B1	F	45	18	21	6
F5	B	B2	F5B2	M	42	21	17	4
F5	B	B2	F5B2	F	45	20	18	7
F5	B	B3	F5B3	M	45	18	19	8
F5	B	B3	F5B3	F	45	18	23	4
F7	A	A1	F7A1	M	44	17	20	7
F7	A	A1	F7A1	F	40	19	17	4
F7	A	A2	F7A2	M	41	13	22	6
F7	A	A2	F7A2	F	40	14	21	5
F7	A	A3	F7A3	M	45	25	19	1
F7	A	A3	F7A3	F	42	27	13	2
F7	B	B1	F7B1	M	45	20	18	7
F7	B	B1	F7B1	F	45	15	24	6
F7	B	B2	F7B2	M	45	25	18	2
F7	B	B2	F7B2	F	44	28	15	1
F7	B	B3	F7B3	M	42	22	18	2
F7	B	B3	F7B3	F	43	18	20	5
